artist_name,genres
Charli XCX,"['candy pop', 'dance pop', 'edm', 'electropop', 'indie poptimism', 'metropopolis', 'pop', 'post-teen pop', 'r&b', 'tropical house']"
Jeremy Zucker,"['dance pop', 'electropop', 'indie poptimism', 'pop']"
Luke Christopher,"['indie pop rap', 'pop rap']"
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']","['art rock', 'british folk', 'chamber pop', 'folk', 'folk rock', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'rock', 'singer-songwriter', 'slow core', 'traditional folk']",['post-teen pop'],"['epicore', 'scorecore', 'soundtrack', 'video game music']",['steel guitar'],"['contemporary country', 'modern country rock']"
MyLove
Niall Horan,"['dance pop', 'pop', 'post-teen pop']"
Lily Allen,"['dance pop', 'electropop', 'europop', 'folk-pop', 'pop', 'pop rock']"
Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
Major Lazer,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'tropical house']"
Ryan Gosling,['hollywood']
Da LAB,['vietnamese hip hop']
Lil Uzi Vert,"['pop rap', 'rap', 'trap music']"
The Weeknd,"['canadian pop', 'pop', 'rap']"
Thuy Chi,['vietnamese pop']
NF,['hip hop'],['j-rap']
5 Seconds of Summer,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
Plain White T's,"['neo mellow', 'pop punk', 'pop rock', 'post-teen pop']"
Matt Johnson,"['channel pop', 'neo mellow', 'viral pop']"
Fleurie,"['indie poptimism', 'modern alternative rock']"
A R I Z O N A,"['dance pop', 'deep tropical house', 'electropop', 'indie poptimism', 'pop', 'tropical house']"
Jason Mraz,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']"
