artist_name,song_name,lyrics
Linkin Park,LOST IN THE ECHO,"Yeah!
Yo, you were that foundation
Never gonna be another one, no
I followed, so taken
So conditioned, I could never let go

Then sorrow, then sickness
Then the shock when you flip it on me
So hollow, so vicious
So afraid I couldn't let myself see

That I could never be held
Back or up no, I hold myself
Check the rep, yep, you know mine well
Forget the rest, let them know my hell

There and back, yet my soul ain't sell
Kept respect up, the best, they fell
Let the rest be the tale they tell
That I was there, sayin'

In these promises broken
Deep below
Each word gets lost in the echo
So one last lie
I can see through
This time I've finally let you 
Go, go, go

Test my will, test my heart
Let me tell you how the odds gonna stack up
Y'all go hard, I go smart
How's that working out for y'all in the back, huh?

I've seen that frustration
Been crossed and lost and told no
And I've come back unshaken
Let down and lived and let go

So you can let it be known
I don't hold back, I hold my own
I can't be mapped, I can't be cloned
I can't C-flat, it ain't my tone

I can't fall back, I came too far
Haul myself up and learn my scars
Let the bells ring wherever they are
'Cause I was there saying

In these promises broken
Deep below
Each word gets lost in the echo
So one last lie
I can see through
This time I've finally let you go

(Go)
(Go)
(Go)
(Go)
(Go)

No, you can tell 'em all now
I don't back up, I don't back down
I don't fold up and I don't bow
I don't roll over, don't know how

I don't care where the enemies are
Can't be stopped, all I know, go hard
Won't forget how I got this far
For every time saying

In these promises broken
Deep below
Each word gets lost in the echo
So one last lie
I can see through
This time I've finally let you

(Go)
Go
(Go)
Go
(Go)
Go
(Go)

Go
(Go)
Go
(Go)
Go
(Go)
Go"
Imagine Dragons,Thunder,"Just a young gun with a quick fuse
I was uptight, wanna let loose
I was dreaming of bigger things and
Wanna leave my own life behind

Not a yes sir, not a follower
Fit the box, fit the mold
Have a seat in the foyer, take a number
I was lightning before the thunder

Thunder, thunder
Thunder, thun-, thunder
Thun-thun-thunder, thunder, thunder
Thunder, thun-, thunder
Thun-thun-thunder, thunder

Thunder, feel the thunder
Lightning and the thunder
Thunder, feel the thunder
Lightning and the thunder
Thunder, thunder
Thunder

Kids were laughing in my classes
While I was scheming for the masses
Who do you think you are?
Dreaming 'bout being a big star

You say you're basic, you say you're easy
You're always riding in the backseat
Now I'm smiling from the stage while
You were clapping in the nose bleeds

Thunder, thunder
Thunder, thun-, thunder
Thun-thun-thunder, thunder, thunder
Thunder, thun-, thunder
Thun-thun-thunder, thunder

Thunder, feel the thunder
Lightning and the thunder
Thunder, feel the thunder
Lightning and the thunder
Thunder

Thunder, feel the thunder
Lightning and the thunder, thunder

Thunder, feel the thunder
Lightning and the thunder, thunder
Thunder, feel the thunder
Lightning and the thunder, thunder
Thunder, feel the thunder
Lightning and the thunder, thunder
Thunder, feel the thunder (feel the)
Lightning and the thunder, thunder

Thunder, thunder, thunder
Thun-thun-thunder, thunder
Thunder, thunder, thunder
Thun-thun-thunder, thunder
Thunder, thunder, thunder
Thun-thun-thunder, thunder
Thunder, thunder, thunder
Thun-thun-thunder, thunder"
Gary Jules,Mad World (Feat. Michael Andrews),"All around me are familiar faces
Worn-out places, worn-out faces
Bright and early for their daily races
Going nowhere, going nowhere

Their tears are filling up their glasses
No expression, no expression
Hide my head, I want to drown my sorrow
No tomorrow, no tomorrow

And I find it kind of funny, I find it kind of sad
The dreams in which I'm dying are the best I've ever had
I find it hard to tell you, I find it hard to take
When people run in circles it's a very, very

Mad world
Mad world

Children waiting for the day they feel good
Happy birthday, happy birthday
And I feel the way that every child should
Sit and listen, sit and listen

Went to school and I was very nervous
No one knew me, no one knew me
Hello, teacher, tell me, what's my lesson?
Look right through me, look right through me

And I find it kind of funny, I find it kind of sad
The dreams in which I'm dying are the best I've ever had
I find it hard to tell you, I find it hard to take
When people run in circles it's a very, very

Mad world
Mad world
Enlarging your world
Mad world"
Bebe Rexha,Bad Bitch (feat. Ty Dolla $ign),"You're sayin' that your tired of all your empty habits
You want something that's deeper 'cause you're over the generics
You're fuckin' with them basics when you really want the baddest
So come on, baby, get it, 'cause to miss it, it would be tragic

You say you want a bad bitch, baby, now you have it
Now you got a bad bitch, show me you can handle this
Say you want a bad bitch, baby, now you have it
Now you got the baddest, show me you can handle this

Bad bitch, bad bitch
Bad bitch, bad bitch
Show me you can handle this
Bad bitch, bad bitch
Bad bitch, bad bitch
Show me you can handle this
(Oh, yeah, yeah, yeah)
(Oh, yeah, yeah, yeah)

You know I can handle it
You know I can handle it
When you throw that thing back
Get me like collateral
You be goin' all night
When you on that adderall
We be goin' all night
When you on that adderall
Bad bitch, bad bitch
You ain't never average
Kissin' double C's on your back with the (?)
Bad bitch, bad bitch
You ain't never average
Center on the jeans with the center on back too

You say you want a bad bitch, baby, now you have it
Now you got a bad bitch, show me you can handle this
Say you want a bad bitch, baby, now you have it
Now you got the baddest, show me you can handle this

Bad bitch, bad bitch
Bad bitch, bad bitch
Bad bitch, bad bitch
Bad bitch, bad bitch
Show me you can handle this
(Oh, yeah, yeah, yeah)
(Oh, yeah, yeah, yeah)

I pay my own bills and I pay my own rent
'Cause I'm indepe-, independent
I buy my own rings and I do my own things
'Cause I'm indepe-, independent
I know it really hurts, I know it ain't fair
You're not allowed to touch, but you can stare
Know it really hurts, know it ain't fair
So keep sayin' your prayers

You want a bad bitch, baby, now you have it
Now you got a bad bitch, show me you can handle this
Say you want a bad bitch, baby, now you have it
Now you got the baddest, show me you can handle this

Bad bitch, bad bitch
Bad bitch, bad bitch
Bad bitch, bad bitch
Bad bitch, bad bitch
Show me you can handle this"
Lady Gaga,The Cure,"I'll undress you, 'cause you're tired
Cover you as you desire
When you fall asleep inside my arms
May not have the fancy things
But I'll give you everything
You could ever want, it's in my arms

So baby tell me yes
And I will give you everything
So baby tell me yes
And I will be all yours tonight
So baby tell me yes
And I will give you everything
I will be right by your side

If I can't find the cure, I'll
I'll fix you with my love
No matter what you know, I'll
I'll fix you with my love
And if you say you're okay
I'm gonna heal you anyway
Promise I'll always be there
Promise I'll be the cure (be the cure)

Rub your feet, your hands, your legs
Let me take care of it, babe
Close your eyes, I'll sing your favorite song
I wrote you this lullaby
Hush now baby, don't you cry
Anything you want could not be wrong

So baby tell me yes
And I will give you everything
So baby tell me yes
And I will be all yours tonight
So baby tell me yes
And I will give you everything
I will be right by your side

If I can't find the cure, I'll
I'll fix you with my love
No matter what you know, I'll
I'll fix you with my love
And if you say you're okay
I'm gonna heal you anyway
Promise I'll always be there
Promise I'll be the cure (be the cure)

I'll fix you with my love
(I'll fix you with my love-lo-love)
I'll fix you with my love
(I'll fix you with my love-lo-love)

If I can't find the cure, I'll
I'll fix you with my love
No matter what you know, I'll
I'll fix you with my love
And if you say you're okay
I'm gonna heal you anyway
Promise I'll always be there
Promise I'll be the cure (be the cure)
Promise I'll be the cure (be the cure)

I'll fix you with my love"
DJ Khaled,I'm the One,"DJ Khaled
We the best music! Another one!
DJ Khaled!

Justin Bieber (DJ Khaled)
Yeah, you're lookin' at the truth
The money never lie, no
I'm the one, yeah, I'm the one
Early mornin' in the dawn
Know you wanna ride now (let's ride, let's ride)
I'm the one, yeah, I'm the one, yeah

And you sick of all those other imitators
Don't let the only real one intimidate cha
See you watchin', don't run outta time now
I'm the one, yeah

Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one

Quavo
Yeah, yeah, Quavo
I'm the one that hit that same spot (hit it)
She the one that bring them rain drops (rain drops)
We go back, remember criss-cross and hopscotch? (hopscotch)
You the one that hold me down when the block's hot (hot)

I make your dreams come true when you wake up (dream)
And your look's just the same without no make-up
Had to pull up on your mama, see what you're made of (mama)
Ain't gotta worry 'bout them commas 'cause my cake up

You can run inside my life from that fame bus
'Cause I promise when we step out you'll be famous
Modern day Bonnie and Clyde what they named us
'Cause when we pull up (prr prr) all angles

Justin Bieber (DJ Khaled)
Yeah, you're lookin' at the truth
The money never lie, no
I'm the one, yeah, I'm the one
Early mornin' in the dawn
Know you wanna ride now (let's ride, let's ride)
I'm the one, yeah, I'm the one, yeah

And you sick of all those other imitators
Don't let the only real one intimidate ya
See you watchin', don't run outta time now
I'm the one, yeah

Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one

Chance
Okay, though
Uh, she beat her face up with that new Chanel
She like the price, she see the ice, it make her coochie melt
When I met her in the club I asked her who she felt
Then she went and put that booty on that Gucci belt, ha

We don't got no label
She say she want bottles, she ain't got no table
She don't got no bed frame, she don't got no tables
We just watchin' Netflix, she ain't got no cable, okay though

Plug, plug, plug, I'm the plug for her
She want a nigga that pull her hair and hold the door for her
Baby, that's only me, bitch, it okay with me
Baby, okay, okay though

Justin Bieber (DJ Khaled)
Yeah, you're lookin' at the truth
The money never lie, no
I'm the one, yeah, I'm the one
Early mornin' in the dawn
Know you wanna ride now (let's ride, let's ride)
I'm the one, yeah, I'm the one, yeah

And you sick of all those other imitators
Don't let the only real one intimidate ya
See you watchin', don't run outta time now
I'm the one, yeah

Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one

Li'l Wayne
Lookin' for the one? Well, bitch, you're lookin' at the one
I'm the best yet, and yet my best is yet to come
'Cause I've been lookin' for somebody
Not just any fuckin' body
Don't make me catch a body
That's for any and everybody

Oh my God! She hit me up all day, get no response
Bitch, you blow my high, that's like turnin' gold to bronze
Roll my eyes
And when she on the molly she a zombie
She think we Clyde and Bonnie
But it's more like Whitney / Bobby

God, forgive me
Tunechi F finessin', I'm a legend
Straight up out The Crescent
Fly your bae down for the Essence
For the record I knew Khaled when that boy was spinnin' records
Guilderberg gang winnin' record
I'm just flexin' on my exes, oh God

Justin Bieber (DJ Khaled)
Yeah, you're lookin' at the truth
The money never lie, no
I'm the one, yeah, I'm the one
Early mornin' in the dawn
Know you wanna ride now (let's ride, let's ride)
I'm the one, yeah, I'm the one, yeah

And you sick of all those other imitators
Don't let the only real one intimidate ya
See you watchin', don't run outta time now
I'm the one, yeah

Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one

Everybody (DJ Khaled)
(Another one)
Don't you know, girl, don't you know, girl
I am the one for you (I'm the one) yeah, I'm the one
Don't you know, girl, don't you know, girl
I am the one for you (I'm the one) yeah, I'm the one
Don't you know, girl, don't you know, girl
I am the one for you (I'm the one) yeah, I'm the one
Don't you know, girl, don't you know, girl
I am the one for you (I'm the one) yeah, I'm the one"
The Vamps,Middle Of The Night,"I keep coming back to that moment
Where it all fell apart
So I try and drink my emotions
Till I can't feel my heart

And I don't understand
How you slipped through my hands
And I'll do all I can
To get you out of my head

So when I call you in the middle of the night
And I'm choking on the words 'cause I miss you
Baby, don't tell me I'm out of time
I got so much of my loving to give you

In the middle of the night
In the middle of the night
I need you
In the middle of the night

I've got no good explanation
For what I put you through
Managing my expectations
Is what I never do

Yeah and I don't understand
How you slipped through my hands
And I'm trying all I can
To forget you again

So when I call you in the middle of the night
And I'm choking on the words 'cause I miss you
Baby, don't tell me I'm out of time
I got so much of my loving to give you

In the middle of the night
In the middle of the night
I need you

So when I call you in the middle of the night
And I'm choking on the words 'cause I miss you
Baby, don't tell me I'm out of time
I got so much of my loving to give you

In the middle of the night
In the middle of the night
I need you
In the middle of the night
In the middle of the night
I need you"
Travie McCoy,Billionaire (feat. Bruno Mars),"Bruno Mars
I wanna be a billionaire so fuckin' bad
Buy all of the things I never had
I wanna be on the cover of Forbes magazine
Smiling next to Oprah and the Queen

Oh every time I close my eyes
I see my name in shining lights, yeah
A different city every night
Oh, I, I swear the world better prepare
For when I'm a billionaire

Travie McCoy
Yeah, I would have a show like Oprah, I would be the host of
Everyday Christmas, give Travie a wish list
I'd probably pull an Angelina and Brad Pitt
And adopt a bunch of babies that ain't never had shit

Give away a few Mercedes like, ""Here lady, have this""
And last, but not, least grant somebody their last wish
It's been a couple months that I've been single, so
You can call me Travie Claus, minus the ho ho

Get it, I'd probably visit where Katrina hit
And damn sure do a lot more than FEMA did
Yeah, can't forget about me, stupid
Everywhere I go I'ma have my own theme music

Bruno Mars
Oh, every time I close my eyes
What you see? What you see, bro?
I see my name in shining lights, oh yeah
Uh-huh, uh-huh, and what else?
A different city every night
Yeah, yeah, yeah
Oh, I, I swear the world better prepare
For what?
For when I'm a billionaire
Oh ooh oh ooh
For when I'm a billionaire
Oh ooh oh ooh

Travie McCoy
I'll be playing basketball with the President, dunkin' on his delegates
Then I'll compliment him on his political etiquette
Toss a couple milli in the air just for the heck of it
But keep the fives, twentys, tens and Bens completely separate

And yeah, I'll be in a whole new tax bracket
We in recession, but let me take a crack at it
I'll probably take whatever's left and just split it up
So everybody that I love can have a couple bucks

And not a single tummy around me would know what hungry was
Eating good, sleeping soundly
I know we all have a similar dream
Go in your pocket pull out your wallet, put it in the air and sing

Bruno Mars
I wanna be a billionaire so fuckin' bad
So bad
Buy all of the things I never had
Buy everything
Uh, I wanna be on the cover of Forbes magazine
Smiling next to Oprah and the Queen
What up, Oprah! Ha ha

Oh, every time I close my eyes
What you see? What you see, bro?
I see my name in shining lights, oh yeah
Uh-huh, uh-huh, and what else?
A different city every night
Yeah, yeah, yeah
Oh, I, I swear the world better prepare
For what?
For when I'm a billionaire
Oh ooh oh ooh
For when I'm a billionaire
Oh ooh oh ooh

I wanna be a billionaire so fuckin' bad"
Calvin Harris,Heatstroke,"Won't you please
Slow it down?
I'm tryna talk to you, darlin'
Tryna walk with you, darlin'
Do you hear me?
And no-no-no-no-nobody can stop it
The love you got from me
And every time, I look out at my seat today
They chase, they flash they flash, yes

Tell me how you feel right now
'Cause all I wanna do is keep it real right now
I'm tryna beat it up, Beat Pills right now
Athletic in the sheets, I got skills right now
Break bread with some red baby hair
Ballin' in the club, Ace of Spades, yeah
Pop that bitch and spray it like 'Raid'
Yellow diamonds on you like a glass of lemonade
QB, I'll throw it
Teeth white, Newports
I want knees like shorts
80 thousand dollar Birkin bag in the Porsche
I'm tryna fuck with you 'til we on life support
I'll split it with you if we get half of Michael Jordan
No toilet tissue, I shit on niggas 'cause life is short (facts)
No passport to go with me, I had to get deported

Release, let go, and have a good time
Have a good, have a good time, yeah
Have a good, have a good time
Release, let go, and have a good time
Let's have a good, have a good time, yeah

When you do things like this
And you set me free
How can anyone get tired?
When you do things like this
And you set me free
I think I've just been inspired
Oh babe

Jeffery!
Brand new chapter of a real you
She got every red bottom like a baboon
Hunnid' bottles in the club, real one room
Girl you gotta keep up with a boss move
King of the jungle, tycoon
Everybody thinking that's a cartoon
We just wanna party, way back in the war room
Do you want some? No I don't, son
Tryna watch me ballin', do you want money?
I'm just tryna turn up, tryna work something
Shawty suck the dick good, she wanna fuck it first
Hey mista, you a rat burn
Good hair down her back
Rich nigga, I like 'em ratchet
Fuck it up, throw it back
No shave, Brazilian wax

Release, let go, and have a good time
Have a good, have a good time, yeah
Have a good, have a good time
Release, let go, and have a good time
Have a good, have a good time, yeah

When you do things like this
And you set me free
How can anyone get tired?
When you do things like this
And you set me free
I think I've just been inspired
When you do things like this
And you set me free, boy
How can anyone get tired?
When you do things like this
And you set me free
I think I've just been inspired

Hey, hey
I could sweat like this all night
Oh, heatstroke, oh
I think you opened my eyes"
Sam Hunt,Body Like A Back Road,"Got a girl from the south side, got braids in her hair
First time I seen her walk by, man I 'bout fell off my chair
Had to get her number, it took me like six weeks
Now me and her go way back like Cadillac seats

Body like a back road, drivin' with my eyes closed
I know every curve like the back of my hand
Doin' 15 in a 30, I ain't in no hurry
I'ma take it slow just as fast as I can

The way she fit in them blue jeans, she don't need no belt
But I can turn them inside out, I don't need no help
Got hips like honey, so thick and so sweet
It ain't no curves like hers on them downtown streets

Body like a back road, drivin' with my eyes closed
I know every curve like the back of my hand
Doin' 15 in a 30, I ain't in no hurry
I'ma take it slow just as fast as I can

We're out here in the boondocks
With the breeze and the birds
Tangled up in the tall grass
With my lips on hers
On the highway to heaven
Headed south of her smile
Get there when we get there
Every inch is a mile

Body like a back road, drivin' with my eyes closed
I know every curve like the back of my hand
Doin' 15 in a 30, I ain't in no hurry
I'ma take it slow just as fast as I can

I'ma take it slow
Just as fast as I can
(Body like a back road
Drivin' with my eyes closed
I know every curve like the back of my hand)"
